class_loader	classes	bytes	parent_loader	alive?	type
0x00000000e8ced718	1	1888	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8690110	22	159176	0x00000000e79935e8	live	org/apache/jasper/servlet/JasperLoader@0x00000000fcf3ceb0
0x00000000e8bc1930	1	3064	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8d0c938	1	3064	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8bc1d70	1	3064	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e7792260	0	0	0x00000000e7698028	dead	java/util/ResourceBundle$RBClassLoader@0x00000000fb63b058
0x00000000e81b0140	1	3032	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e7698328	1	3064	0x00000000e7697b98	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8b61ff0	20	98400	0x00000000e79935e8	live	org/apache/jasper/servlet/JasperLoader@0x00000000fcf3ceb0
0x00000000e8cebc68	1	3064	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8ced618	1	1888	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e7e56c40	1	1888	  null  	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e7698118	1	3072	0x00000000e7697b98	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8bc1b08	1	3032	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8bc1c70	1	3064	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8d0cb38	1	3056	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e88e30c8	1	3064	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8aa2d48	20	98128	0x00000000e79935e8	live	org/apache/jasper/servlet/JasperLoader@0x00000000fcf3ceb0
0x00000000e8c94760	1	3064	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e7698568	1	3072	  null  	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e79935e8	3344	20026448	0x00000000e7697b98	live	org/apache/catalina/loader/WebappClassLoader@0x00000000fb9bf5a0
0x00000000e8bc20f0	1	3064	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8136fd8	1	3032	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8b62050	20	97872	0x00000000e79935e8	live	org/apache/jasper/servlet/JasperLoader@0x00000000fcf3ceb0
0x00000000e7f3cd50	1	3288	  null  	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8378188	1	3032	  null  	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8bc1f70	1	3032	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e885c6f8	1	1888	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8d0ca38	1	3064	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e7698200	1	3064	0x00000000e7697b98	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e88e31c8	1	1904	  null  	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e7698468	1	3064	0x00000000e7697b98	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e7f3cc50	1	3032	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e7698028	97	946816	0x00000000e76dde48	live	sun/misc/Launcher$AppClassLoader@0x00000000fb01aef8
0x00000000e8bc1e70	1	3064	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e7caa2b0	1	1888	  null  	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e76dde48	14	95168	  null  	live	sun/misc/Launcher$ExtClassLoader@0x00000000fafc0538
0x00000000e8bc1970	1	3064	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8d0c978	1	3064	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e81b0018	1	3032	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e7f3cb50	1	3032	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e7698368	1	3032	0x00000000e7697b98	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8bc1d30	1	3064	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8ced658	1	3064	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8143910	1	3032	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e7be90d8	1	3032	  null  	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e7698628	1	3064	0x00000000e7697b98	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8146218	1	3032	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e7698268	1	3064	0x00000000e7697b98	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8d0cc38	1	3064	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8cecbb0	1	1888	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e7698158	1	3032	0x00000000e7697b98	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8bc1c30	1	3064	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8c94720	1	1888	0x00000000e7697b98	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e7698528	1	3064	0x00000000e7697b98	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8ced558	1	3064	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8bc1b70	1	3064	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8bc1a60	1	3032	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8d0cb78	1	3048	  null  	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e83781c8	1	3056	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8bc1f30	1	1888	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e885c6b8	1	3056	  null  	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8bc20b0	1	3064	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e7f3cd10	1	3032	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e88e3188	1	3056	  null  	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e7698428	1	3032	0x00000000e7697b98	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8d0ca78	1	3064	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e8bc1e30	1	3064	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50
0x00000000e7f3cc10	1	3032	0x00000000e79935e8	dead	sun/reflect/DelegatingClassLoader@0x00000000fae50b50

total = 141	7761	50162984	    N/A    	alive=13, dead=128	    N/A    
