
 num     #instances         #bytes  class name
 121:           187           8976  freemarker.core.Dot
 122:           526           8416  java.util.HashMap$Values
 123:           349           8376  sun.reflect.generics.factory.CoreReflectionFactory
 124:           156           8328  [Lorg.hibernate.property.Getter;
 125:           156           8328  [Lorg.hibernate.property.Setter;
 126:           258           8256  java.security.CodeSource
 127:           342           8208  java.util.concurrent.CopyOnWriteArrayList
 128:           204           8160  freemarker.core.Identifier
 129:           127           8128  sun.reflect.DelegatingClassLoader
 130:           338           8112  java.util.LinkedList$Node
 131:           502           8032  org.hibernate.property.MapAccessor$MapGetter
 132:           502           8032  org.hibernate.property.MapAccessor$MapSetter
 133:           493           7888  java.util.LinkedHashSet
 134:           323           7752  org.apache.juli.ClassLoaderLogManager$LogNode
 135:           123           7648  [[I
 136:           117           7488  java.util.jar.JarFile
 137:           309           7416  sun.reflect.generics.scope.MethodScope
 138:           173           7296  [Lorg.hibernate.engine.CascadeStyle;
 139:            92           7248  [Ljava.util.concurrent.ConcurrentHashMap$Segment;
 140:           299           7176  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl
 141:           179           7160  org.apache.log4j.Logger
 142:           446           7136  java.util.HashMap$EntrySet
 143:            52           7072  org.hibernate.tuple.entity.EntityMetamodel
 144:            23           6992  org.hibernate.persister.collection.OneToManyPersister
 145:           216           6912  javax.management.MBeanParameterInfo
 146:           213           6816  org.apache.tomcat.util.modeler.ParameterInfo
 147:            62           6808  [Ljavax.servlet.jsp.tagext.TagAttributeInfo;
 148:           282           6768  sun.reflect.annotation.AnnotationInvocationHandler
 149:            76           6688  org.apache.naming.resources.FileDirContext$FileResourceAttributes
 150:            49           6664  org.springframework.beans.factory.support.RootBeanDefinition
 151:           274           6576  org.apache.log4j.CategoryKey
 152:           269           6456  java.lang.Long
 153:           200           6400  java.lang.ref.ReferenceQueue
 154:           266           6384  sun.reflect.NativeMethodAccessorImpl
 155:            98           6272  com.mysql.jdbc.ConnectionProperties$BooleanConnectionProperty
 156:           260           6240  org.apache.catalina.LifecycleEvent
 157:           195           6240  java.lang.ThreadLocal$ThreadLocalMap$Entry
 158:            43           6192  java.text.DecimalFormat
 159:           122           6064  [Lorg.hibernate.type.Type;
 160:            84           6048  org.hibernate.hql.ast.tree.IdentNode
